iter	Passed	Remaining
0	202	202744
1	205	102341
2	207	68817
3	208	52016
4	210	41945
5	213	35293
6	215	30591
7	217	26994
8	219	24221
9	221	21961
10	224	20183
11	226	18636
12	228	17374
13	230	16265
14	232	15285
15	234	14426
16	236	13697
17	239	13060
18	241	12483
19	244	11960
20	245	11459
21	248	11028
22	249	10605
23	251	10245
24	253	9894
25	255	9589
26	257	9282
27	258	8989
28	260	8728
29	262	8491
30	264	8262
31	266	8065
32	269	7886
33	271	7713
34	273	7531
35	275	7369
36	278	7240
37	281	7118
38	284	7009
39	287	6901
40	290	6792
41	292	6672
42	295	6567
43	297	6460
44	300	6367
45	302	6265
46	304	6176
47	307	6089
48	309	6004
49	310	5897
50	312	5806
51	314	5733
52	315	5646
53	317	5564
54	319	5496
55	322	5433
56	324	5362
57	325	5283
58	327	5217
59	329	5162
60	332	5112
61	333	5051
62	335	4996
63	338	4945
64	340	4895
65	341	4837
66	343	4786
67	345	4729
68	347	4685
69	348	4633
70	350	4583
71	352	4542
72	354	4507
73	357	4467
74	359	4432
75	361	4393
76	363	4354
77	365	4319
78	367	4284
79	370	4255
80	371	4215
81	373	4182
82	375	4154
83	378	4124
84	379	4084
85	381	4053
86	382	4015
87	384	3988
88	386	3958
89	388	3930
90	390	3899
91	391	3867
92	393	3836
93	394	3807
94	396	3776
95	398	3748
96	399	3720
97	401	3692
98	402	3667
99	405	3645
100	406	3620
101	407	3589
102	409	3563
103	410	3537
104	411	3511
105	413	3487
106	415	3464
107	416	3442
108	418	3418
109	419	3394
110	420	3369
111	421	3345
112	423	3321
113	424	3296
114	425	3271
115	425	3246
116	427	3223
117	428	3201
118	429	3178
119	430	3157
120	431	3136
121	432	3114
122	433	3089
123	434	3068
124	435	3046
125	436	3026
126	437	3006
127	437	2983
128	438	2964
129	439	2944
130	440	2924
131	441	2905
132	442	2886
133	443	2867
134	444	2849
135	445	2830
136	446	2812
137	447	2793
138	447	2774
139	448	2757
140	449	2739
141	450	2722
142	451	2705
143	452	2689
144	453	2672
145	454	2656
146	454	2639
147	455	2623
148	456	2607
149	457	2592
150	458	2576
151	459	2563
152	460	2548
153	461	2534
154	462	2519
155	463	2504
156	463	2490
157	464	2476
158	465	2462
159	466	2448
160	467	2434
161	468	2421
162	468	2407
163	469	2394
164	470	2381
165	471	2368
166	472	2356
167	473	2344
168	474	2334
169	475	2322
170	476	2310
171	477	2300
172	478	2289
173	480	2278
174	481	2268
175	482	2257
176	483	2246
177	484	2236
178	485	2226
179	486	2214
180	486	2201
181	487	2191
182	488	2181
183	490	2173
184	491	2165
185	492	2155
186	495	2152
187	499	2159
188	502	2154
189	504	2152
190	506	2146
191	508	2141
192	511	2136
193	513	2133
194	519	2143
195	521	2140
196	524	2137
197	526	2134
198	528	2127
199	529	2119
200	531	2112
201	533	2105
202	535	2100
203	537	2095
204	539	2090
205	540	2084
206	542	2078
207	544	2072
208	546	2067
209	549	2067
210	551	2062
211	553	2055
212	554	2048
213	555	2040
214	556	2033
215	558	2026
216	559	2019
217	562	2017
218	564	2012
219	565	2005
220	567	1999
221	568	1992
222	569	1985
223	570	1977
224	571	1969
225	572	1962
226	573	1954
227	574	1946
228	576	1940
229	578	1935
230	580	1932
231	582	1928
232	584	1922
233	585	1917
234	587	1912
235	589	1907
236	590	1899
237	591	1892
238	592	1885
239	593	1878
240	594	1872
241	595	1865
242	596	1858
243	597	1851
244	598	1844
245	599	1837
246	600	1830
247	601	1823
248	602	1815
249	602	1808
250	603	1802
251	604	1795
252	605	1788
253	606	1781
254	607	1774
255	608	1769
256	610	1764
257	611	1757
258	612	1751
259	613	1744
260	613	1738
261	614	1731
262	615	1725
263	616	1718
264	617	1712
265	618	1706
266	619	1700
267	620	1694
268	621	1688
269	622	1682
270	623	1678
271	625	1673
272	626	1668
273	627	1662
274	628	1656
275	629	1651
276	630	1645
277	631	1640
278	632	1634
279	633	1629
280	634	1623
281	635	1617
282	635	1611
283	636	1605
284	637	1599
285	639	1596
286	640	1591
287	641	1586
288	642	1580
289	643	1575
290	644	1569
291	645	1564
292	646	1559
293	646	1553
294	648	1548
295	649	1543
296	650	1539
297	651	1534
298	652	1529
299	653	1524
300	654	1520
301	655	1515
302	656	1510
303	657	1506
304	658	1501
305	659	1496
306	661	1492
307	662	1487
308	663	1483
309	664	1480
310	666	1477
311	668	1474
312	669	1470
313	671	1466
314	672	1461
315	673	1457
316	674	1453
317	675	1448
318	676	1444
319	677	1440
320	679	1436
321	680	1432
322	681	1428
323	683	1426
324	684	1422
325	686	1418
326	687	1414
327	688	1410
328	689	1406
329	690	1402
330	691	1398
331	693	1394
332	694	1390
333	695	1387
334	696	1383
335	698	1380
336	699	1377
337	701	1373
338	702	1369
339	703	1365
340	704	1361
341	705	1357
342	706	1353
343	707	1349
344	708	1345
345	709	1341
346	711	1338
347	712	1334
348	713	1331
349	715	1327
350	716	1324
351	717	1320
352	718	1316
353	719	1313
354	720	1309
355	721	1305
356	722	1301
357	723	1298
358	724	1294
359	726	1290
360	727	1287
361	728	1284
362	730	1281
363	731	1277
364	732	1274
365	733	1270
366	735	1269
367	737	1266
368	738	1262
369	740	1260
370	741	1257
371	742	1253
372	744	1250
373	745	1247
374	746	1244
375	747	1240
376	748	1237
377	750	1234
378	751	1230
379	752	1227
380	753	1224
381	754	1221
382	756	1218
383	757	1215
384	758	1212
385	760	1208
386	761	1205
387	762	1202
388	763	1199
389	765	1196
390	766	1194
391	767	1191
392	769	1187
393	770	1184
394	771	1182
395	772	1178
396	774	1176
397	775	1173
398	776	1169
399	777	1166
400	778	1163
401	779	1160
402	781	1157
403	782	1154
404	783	1151
405	784	1148
406	785	1145
407	787	1142
408	788	1139
409	789	1136
410	790	1133
411	792	1130
412	793	1127
413	794	1124
414	795	1121
415	796	1118
416	797	1115
417	798	1111
418	799	1108
419	800	1105
420	801	1102
421	803	1100
422	805	1098
423	806	1095
424	807	1092
425	808	1089
426	809	1086
427	810	1083
428	813	1082
429	814	1079
430	816	1077
431	818	1076
432	819	1073
433	821	1070
434	822	1068
435	823	1065
436	824	1062
437	826	1060
438	827	1057
439	828	1054
440	830	1052
441	831	1050
442	833	1047
443	834	1045
444	835	1042
445	837	1039
446	838	1036
447	839	1034
448	840	1031
449	841	1028
450	842	1025
451	844	1023
452	845	1020
453	846	1018
454	847	1015
455	848	1012
456	849	1009
457	850	1006
458	851	1003
459	852	1001
460	854	998
461	855	995
462	856	993
463	857	990
464	858	987
465	859	985
466	861	982
467	862	980
468	863	977
469	864	975
470	865	972
471	867	969
472	868	967
473	869	964
474	870	961
475	871	959
476	872	956
477	873	953
478	874	951
479	875	948
480	877	946
481	878	944
482	879	941
483	881	939
484	882	936
485	883	934
486	884	931
487	885	929
488	886	926
489	887	924
490	889	922
491	890	919
492	891	917
493	893	914
494	894	912
495	895	910
496	896	907
497	897	905
498	899	902
499	900	900
500	901	897
501	902	895
502	903	892
503	904	890
504	905	887
505	907	885
506	908	882
507	909	880
508	910	878
509	911	876
510	913	874
511	914	872
512	916	869
513	917	867
514	919	865
515	920	863
516	921	861
517	923	859
518	924	856
519	925	854
520	927	852
521	928	850
522	930	848
523	932	846
524	933	844
525	934	842
526	935	840
527	937	837
528	938	835
529	939	832
530	940	830
531	941	827
532	942	825
533	943	823
534	944	820
535	945	818
536	946	816
537	947	813
538	948	811
539	949	808
540	950	806
541	951	804
542	953	802
543	954	800
544	955	798
545	957	796
546	958	793
547	959	791
548	960	789
549	961	786
550	962	784
551	963	782
552	964	779
553	965	777
554	966	775
555	967	772
556	968	770
557	969	768
558	970	765
559	971	763
560	972	761
561	973	758
562	974	756
563	975	754
564	976	751
565	977	749
566	978	747
567	979	745
568	980	742
569	981	740
570	982	738
571	983	736
572	984	733
573	985	731
574	986	729
575	988	727
576	989	725
577	990	723
578	991	721
579	992	718
580	993	716
581	994	714
582	996	712
583	996	710
584	998	708
585	999	706
586	1001	704
587	1003	703
588	1004	701
589	1005	699
590	1007	696
591	1008	694
592	1009	692
593	1010	690
594	1012	688
595	1013	686
596	1014	684
597	1015	682
598	1016	680
599	1018	678
600	1019	676
601	1020	674
602	1021	672
603	1022	670
604	1023	668
605	1024	666
606	1026	664
607	1027	662
608	1028	660
609	1029	658
610	1030	656
611	1031	654
612	1032	652
613	1033	650
614	1035	647
615	1036	646
616	1037	644
617	1038	641
618	1039	639
619	1040	637
620	1042	635
621	1043	634
622	1044	632
623	1046	630
624	1047	628
625	1048	626
626	1049	624
627	1050	622
628	1051	620
629	1052	618
630	1053	616
631	1054	614
632	1055	612
633	1056	610
634	1057	607
635	1059	606
636	1060	604
637	1062	602
638	1063	600
639	1064	598
640	1065	596
641	1066	594
642	1067	592
643	1068	590
644	1069	588
645	1070	586
646	1071	584
647	1072	582
648	1074	580
649	1075	579
650	1076	577
651	1078	575
652	1079	573
653	1080	571
654	1081	569
655	1082	567
656	1083	565
657	1084	563
658	1085	561
659	1086	559
660	1087	557
661	1088	555
662	1089	553
663	1090	552
664	1092	550
665	1093	548
666	1094	546
667	1096	544
668	1097	542
669	1098	541
670	1099	539
671	1100	537
672	1101	535
673	1103	533
674	1104	531
675	1105	529
676	1106	528
677	1107	526
678	1108	524
679	1109	522
680	1111	520
681	1112	518
682	1113	516
683	1113	514
684	1114	512
685	1115	510
686	1116	508
687	1117	506
688	1118	505
689	1120	503
690	1121	501
691	1121	499
692	1123	497
693	1124	495
694	1125	493
695	1126	492
696	1127	490
697	1128	488
698	1129	486
699	1130	484
700	1131	482
701	1132	480
702	1133	478
703	1134	476
704	1135	475
705	1136	473
706	1137	471
707	1138	469
708	1139	467
709	1140	465
710	1141	464
711	1142	462
712	1144	460
713	1144	458
714	1146	456
715	1147	454
716	1148	453
717	1149	451
718	1150	449
719	1151	447
720	1152	446
721	1153	444
722	1154	442
723	1155	440
724	1156	438
725	1157	436
726	1158	435
727	1159	433
728	1160	431
729	1161	429
730	1162	427
731	1163	426
732	1165	424
733	1166	422
734	1167	420
735	1168	419
736	1169	417
737	1170	415
738	1171	413
739	1172	411
740	1173	410
741	1174	408
742	1175	406
743	1176	404
744	1177	402
745	1178	401
746	1179	399
747	1180	397
748	1181	395
749	1182	394
750	1183	392
751	1184	390
752	1185	388
753	1186	387
754	1187	385
755	1188	383
756	1189	381
757	1190	380
758	1191	378
759	1192	376
760	1193	374
761	1194	373
762	1195	371
763	1196	369
764	1197	367
765	1198	366
766	1199	364
767	1200	362
768	1201	360
769	1202	359
770	1203	357
771	1204	355
772	1205	354
773	1206	352
774	1207	350
775	1208	348
776	1210	347
777	1211	345
778	1212	344
779	1214	342
780	1215	340
781	1216	339
782	1217	337
783	1218	335
784	1219	334
785	1220	332
786	1221	330
787	1222	329
788	1224	327
789	1225	325
790	1226	324
791	1228	322
792	1229	320
793	1230	319
794	1231	317
795	1232	315
796	1233	314
797	1234	312
798	1235	310
799	1236	309
800	1237	307
801	1238	305
802	1239	304
803	1240	302
804	1242	300
805	1243	299
806	1243	297
807	1245	295
808	1246	294
809	1247	292
810	1248	290
811	1249	289
812	1250	287
813	1251	285
814	1252	284
815	1253	282
816	1255	281
817	1255	279
818	1257	277
819	1258	276
820	1259	274
821	1260	272
822	1261	271
823	1263	269
824	1264	268
825	1265	266
826	1266	264
827	1267	263
828	1268	261
829	1269	260
830	1271	258
831	1272	256
832	1273	255
833	1274	253
834	1275	252
835	1276	250
836	1277	248
837	1278	247
838	1279	245
839	1281	244
840	1282	242
841	1283	240
842	1284	239
843	1285	237
844	1286	236
845	1288	234
846	1289	232
847	1290	231
848	1291	229
849	1292	228
850	1293	226
851	1294	224
852	1295	223
853	1296	221
854	1297	220
855	1298	218
856	1299	216
857	1301	215
858	1302	213
859	1303	212
860	1304	210
861	1305	208
862	1306	207
863	1307	205
864	1308	204
865	1309	202
866	1310	201
867	1311	199
868	1312	197
869	1314	196
870	1315	194
871	1316	193
872	1317	191
873	1318	190
